2019
    Thursday, January 24  10:30 - 11:45 CS151 Lecture
    Friday, January 25  18:30 - 20:30 Course Committee Meeting
    Saturday, January 26  21:30 - 22:30 Dinner
    Sunday, January 27  21:30 - 22:30 Dinner
    Monday, January 28  11:45 - 13:15 CS157C Lecture
    Monday, January 28  13:30 - 14:30 Lunch Meeting
    Tuesday, January 29  10:30 - 11:45 CS151 Lecture
    Wednesday, January 30  11:45 - 13:15 CS157C Lecture
    Wednesday, January 30  13:30 - 14:30 Lunch Meeting
    Thursday, January 31  10:30 - 11:45 CS151 Lecture
    Friday, February 1  18:30 - 20:30 Course Committee Meeting
    Saturday, February 2  21:30 - 22:30 Dinner
    Sunday, February 3  21:30 - 22:30 Dinner
    Monday, February 4  11:45 - 13:15 CS157C Lecture
    Monday, February 4  13:30 - 14:30 Lunch Meeting
    Tuesday, February 5  10:30 - 11:45 CS151 Lecture
    Wednesday, February 6  11:45 - 13:15 CS157C Lecture
    Wednesday, February 6  13:30 - 14:30 Lunch Meeting
    Thursday, February 7  10:30 - 11:45 CS151 Lecture
    Friday, February 8  18:30 - 20:30 Course Committee Meeting
    Saturday, February 9  21:30 - 22:30 Dinner
    Sunday, February 10  21:30 - 22:30 Dinner
    Monday, February 11  11:45 - 13:15 CS157C Lecture
    Monday, February 11  13:30 - 14:30 Lunch Meeting
    Tuesday, February 12  10:30 - 11:45 CS151 Lecture
    Wednesday, February 13  11:45 - 13:15 CS157C Lecture
    Wednesday, February 13  13:30 - 14:30 Lunch Meeting
    Thursday, February 14  10:30 - 11:45 CS151 Lecture
    Friday, February 15  18:30 - 20:30 Course Committee Meeting
    Saturday, February 16  21:30 - 22:30 Dinner
    Sunday, February 17  21:30 - 22:30 Dinner
    Monday, February 18  3:00 - 4:00 test
    Monday, February 18  11:45 - 13:15 CS157C Lecture
    Monday, February 18  13:30 - 14:30 Lunch Meeting
    Wednesday, February 20  11:45 - 13:15 CS157C Lecture
    Wednesday, February 20  13:30 - 14:30 Lunch Meeting
    Thursday, February 21  10:30 - 11:45 CS151 Lecture
    Friday, February 22  18:30 - 20:30 Course Committee Meeting
    Saturday, February 23  21:30 - 22:30 Dinner
    Sunday, February 24  21:30 - 22:30 Dinner
    Monday, February 25  11:45 - 13:15 CS157C Lecture
    Monday, February 25  13:30 - 14:30 Lunch Meeting
    Tuesday, February 26  10:30 - 11:45 CS151 Lecture
    Wednesday, February 27  11:45 - 13:15 CS157C Lecture
    Wednesday, February 27  13:30 - 14:30 Lunch Meeting
    Thursday, February 28  10:30 - 11:45 CS151 Lecture
    Friday, March 1  18:30 - 20:30 Course Committee Meeting
    Saturday, March 2  21:30 - 22:30 Dinner
    Sunday, March 3  21:30 - 22:30 Dinner
    Monday, March 4  11:45 - 13:15 CS157C Lecture
    Monday, March 4  13:30 - 14:30 Lunch Meeting
    Tuesday, March 5  10:30 - 11:45 CS151 Lecture
    Wednesday, March 6  11:45 - 13:15 CS157C Lecture
    Wednesday, March 6  13:30 - 14:30 Lunch Meeting
    Thursday, March 7  10:30 - 11:45 CS151 Lecture
    Friday, March 8  18:30 - 20:30 Course Committee Meeting
    Saturday, March 9  21:30 - 22:30 Dinner
    Sunday, March 10  21:30 - 22:30 Dinner
    Monday, March 11  11:45 - 13:15 CS157C Lecture
    Monday, March 11  13:30 - 14:30 Lunch Meeting
    Tuesday, March 12  10:30 - 11:45 CS151 Lecture
    Wednesday, March 13  11:45 - 13:15 CS157C Lecture
    Wednesday, March 13  13:30 - 14:30 Lunch Meeting
    Thursday, March 14  10:30 - 11:45 CS151 Lecture
    Friday, March 15  18:30 - 20:30 Course Committee Meeting
